Territorio;Anual;Puestos de trabajo totales;Estructura porcentual;Tasas de variación;;;;;;
Andalucía;2008;3.321.527;100;;;;;;;
Andalucía;2009;3.108.540;100;-6,412321803;;;;;;
Andalucía;2010;3.038.957;100;-2,238446345;;;;;;
Andalucía;2011;2.953.497;100;-2,812149037;;;;;;
Andalucía;2012;2.809.637;100;-4,870836165;;;;;;
Andalucía;2013;2.732.720;100;-2,737613435;;;;;;
Andalucía;2014;2.803.713;100;2,597887819;;;;;;
Andalucía;2015;2.930.693;100;4,52899423;;;;;;
Andalucía;2016;2.994.562;100;2,179313903;;;;;;
Andalucía;2017;3.105.452;100;3,703045721;;;;;;
Andalucía;2018;3.169.481;100;2,061825461;;;;;;
Andalucía;2019;3.263.122;100;2,954458474;;;;;;
Andalucía;2020;;;;;;;;;
Andalucía;2021;;;;;;;;;
Almería;2008;290.858;8,756755552;;;;;;;
Almería;2009;272.377;8,762216346;-6,353959664;;;;;;
Almería;2010;270.151;8,889596003;-0,817249621;;;;;;
Almería;2011;263.089;8,907711774;-2,6140936;;;;;;
Almería;2012;249.084;8,865344527;-5,323293638;;;;;;
Almería;2013;248.434;9,091088732;-0,260956143;;;;;;
Almería;2014;260.446;9,289324549;4,835086985;;;;;;
Almería;2015;276.146;9,422549547;6,028120992;;;;;;
Almería;2016;289.352;9,662581706;4,782252866;;;;;;
Almería;2017;299.033;9,62929068;3,345751887;;;;;;
Almería;2018;298.977;9,432995497;-0,01872703;;;;;;
Almería;2019;308.820;9,463942813;3,292226492;;;;;;
Almería;2020;;;;;;;;;
Almería;2021;;;;;;;;;
Cádiz;2008;450.321;13,55764984;;;;;;;
Cádiz;2009;416.368;13,394326597;-7,539732768;;;;;;
Cádiz;2010;400.826;13,189591034;-3,732755639;;;;;;
Cádiz;2011;396.696;13,431400133;-1,030372281;;;;;;
Cádiz;2012;379.486;13,506584658;-4,338334644;;;;;;
Cádiz;2013;360.506;13,192204104;-5,001502032;;;;;;
Cádiz;2014;361.271;12,885448689;0,212201739;;;;;;
Cádiz;2015;380.884;12,996380037;5,428888563;;;;;;
Cádiz;2016;384.951;12,855001833;1,067779166;;;;;;
Cádiz;2017;394.214;12,694255136;2,40628028;;;;;;
Cádiz;2018;406.499;12,82541211;3,11632768;;;;;;
Cádiz;2019;417.211;12,785639029;2,635184834;;;;;;
Cádiz;2020;;;;;;;;;
Cádiz;2021;;;;;;;;;
Córdoba;2008;300.155;9,036656935;;;;;;;
Córdoba;2009;288.870;9,292786968;-3,759724143;;;;;;
Córdoba;2010;282.150;9,284435416;-2,326305951;;;;;;
Córdoba;2011;272.410;9,223303765;-3,452064505;;;;;;
Córdoba;2012;257.690;9,171647441;-5,403619544;;;;;;
Córdoba;2013;251.572;9,205919377;-2,374170515;;;;;;
Córdoba;2014;256.969;9,165310429;2,145310289;;;;;;
Córdoba;2015;262.617;8,960918117;2,19793049;;;;;;
Córdoba;2016;265.938;8,880697745;1,264579216;;;;;;
Córdoba;2017;281.531;9,065701225;5,863396732;;;;;;
Córdoba;2018;285.978;9,022865258;1,579577382;;;;;;
Córdoba;2019;291.120;8,921517492;1,798040409;;;;;;
Córdoba;2020;;;;;;;;;
Córdoba;2021;;;;;;;;;
Granada;2008;353.850;10,653232685;;;;;;;
Granada;2009;331.617;10,667934143;-6,283170835;;;;;;
Granada;2010;320.176;10,535719986;-3,450064382;;;;;;
Granada;2011;310.302;10,506257497;-3,083928839;;;;;;
Granada;2012;295.660;10,523067571;-4,718628949;;;;;;
Granada;2013;290.987;10,648255218;-1,580531692;;;;;;
Granada;2014;295.706;10,546942572;1,621721933;;;;;;
Granada;2015;306.098;10,444560382;3,514301367;;;;;;
Granada;2016;312.903;10,449040628;2,223144222;;;;;;
Granada;2017;322.172;10,374399604;2,96225987;;;;;;
Granada;2018;330.392;10,424167237;2,551432154;;;;;;
Granada;2019;341.555;10,467123203;3,37871377;;;;;;
Granada;2020;;;;;;;;;
Granada;2021;;;;;;;;;
Huelva;2008;209.087;6,294905927;;;;;;;
Huelva;2009;195.755;6,297329293;-6,376293122;;;;;;
Huelva;2010;192.276;6,327039178;-1,777221527;;;;;;
Huelva;2011;189.462;6,414836379;-1,463521188;;;;;;
Huelva;2012;181.124;6,446526722;-4,400882499;;;;;;
Huelva;2013;175.190;6,410828771;-3,276208564;;;;;;
Huelva;2014;185.128;6,602958291;5,672698213;;;;;;
Huelva;2015;192.331;6,562645763;3,890821486;;;;;;
Huelva;2016;196.126;6,549405222;1,973160853;;;;;;
Huelva;2017;206.872;6,661574547;5,479130763;;;;;;
Huelva;2018;209.858;6,621210223;1,443404617;;;;;;
